name,model,mode,precision,recall,f1,support
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.1,0.0,0.0,0.0,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.2,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.3,1.0,0.5,0.6666666666666666,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.4,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.5,0.0,0.0,0.0,1
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.1,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.2,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.3,0.0,0.0,0.0,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.4,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.5,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.6,1.0,0.5,0.6666666666666666,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.1,0.0,0.0,0.0,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.2,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.3,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.1,0.5,0.5,0.5,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.2,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.3,1.0,0.5,0.6666666666666666,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.4,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.5,0.5,1.0,0.6666666666666666,1
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.1,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.2,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.3,0.0,0.0,0.0,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.4,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.5,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.6,0.6666666666666666,1.0,0.8,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.1,0.5,0.5,0.5,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.2,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.3,0.0,0.0,0.0,0
