trace_idx,trace,mas_name,trace_id,model,mode,baseline_verdict,result_type,steps
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,1.1,1,global,global
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,1.2,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,1.3,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,1.4,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,1.5,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.1,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.2,1,steps,"20,34"
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.3,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.4,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.5,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,2.6,1,steps,"20,23,27"
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,3.1,1,global,global
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,3.2,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-flash,3.3,1,steps,"20,23"
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,1.1,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,1.2,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,1.3,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,1.4,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,1.5,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.1,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.2,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.3,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.4,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.5,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,2.6,1,steps,20
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,3.1,1,global,global
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,3.2,0,none,
0,AppWorld_tid0,AppWorld,0,gemini-2.5-pro,3.3,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,1.1,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,1.2,1,steps,"8,15,20,28,31,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,1.3,1,steps,"2,8,14,27,28,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,1.4,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,1.5,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.1,1,steps,"8,9"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.2,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.3,1,steps,"8,14,15,18,27,28"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.4,1,steps,"15,20,31"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.5,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,2.6,1,steps,"8,14,18,24,27,28,29,30,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,3.1,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,3.2,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-flash,3.3,1,steps,"15,20,24,26,33,38,39"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,1.1,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,1.2,1,steps,"14,15,16,20,31"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,1.3,1,steps,"8,14,18,27,28,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,1.4,1,steps,"8,14,18,28,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,1.5,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.1,1,steps,"14,18,26,27,28,30,36"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.2,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.3,1,steps,"26,27,28,29,30,31,32,33,34,35,36,37,38,39"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.4,1,steps,"15,16,20,33,38"
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.5,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,2.6,1,steps,26
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,3.1,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,3.2,0,none,
1,HyperAgent_tid1,HyperAgent,1,gemini-2.5-pro,3.3,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,1.1,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,1.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,1.3,1,steps,2
2,AG2_tid2,AG2,2,gemini-2.5-flash,1.4,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,1.5,1,global,global
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.1,0,none,
