framework,trace_idx,repeat,fm,judge,forced,semi,relaxed
MetaGPT,13,1,1.1,0,~,~,"global,1"
MetaGPT,13,1,1.2,0,~,~,
MetaGPT,13,1,1.3,0,~,~,
MetaGPT,13,1,1.4,1,4,4,
MetaGPT,13,1,1.5,0,~,~,
MetaGPT,13,1,2.1,1,4,RETRACTED,
MetaGPT,13,1,2.2,0,~,~,
MetaGPT,13,1,2.3,0,~,~,
MetaGPT,13,1,2.4,0,~,~,
MetaGPT,13,1,2.5,0,~,~,4
MetaGPT,13,1,2.6,1,4,RETRACTED,"2,4"
MetaGPT,13,1,3.1,0,~,~,global
MetaGPT,13,1,3.2,0,~,~,
MetaGPT,13,1,3.3,0,~,~,"2,4"
MetaGPT,13,2,1.1,0,~,~,
MetaGPT,13,2,1.2,0,~,~,
MetaGPT,13,2,1.3,0,~,~,
MetaGPT,13,2,1.4,0,~,~,
MetaGPT,13,2,1.5,0,~,~,
MetaGPT,13,2,2.1,0,~,~,
MetaGPT,13,2,2.2,0,~,~,
MetaGPT,13,2,2.3,0,~,~,
MetaGPT,13,2,2.4,0,~,~,
MetaGPT,13,2,2.5,0,~,~,4
MetaGPT,13,2,2.6,0,~,~,"2,4"
MetaGPT,13,2,3.1,1,global,4,
MetaGPT,13,2,3.2,0,~,~,"2,4"
MetaGPT,13,2,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,3,1.1,1,global,1,"global,1"
MetaGPT,13,3,1.2,0,~,~,
MetaGPT,13,3,1.3,0,~,~,
MetaGPT,13,3,1.4,0,~,~,
MetaGPT,13,3,1.5,0,~,~,
MetaGPT,13,3,2.1,0,~,~,
MetaGPT,13,3,2.2,1,"2,4",1,
MetaGPT,13,3,2.3,0,~,~,
MetaGPT,13,3,2.4,0,~,~,
MetaGPT,13,3,2.5,0,~,~,4
MetaGPT,13,3,2.6,0,~,~,
MetaGPT,13,3,3.1,0,~,~,
MetaGPT,13,3,3.2,0,~,~,4
MetaGPT,13,3,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,4,1.1,0,~,~,1
MetaGPT,13,4,1.2,0,~,~,
MetaGPT,13,4,1.3,0,~,~,
MetaGPT,13,4,1.4,0,~,~,
MetaGPT,13,4,1.5,0,~,~,
MetaGPT,13,4,2.1,0,~,~,
MetaGPT,13,4,2.2,0,~,~,
MetaGPT,13,4,2.3,0,~,~,
MetaGPT,13,4,2.4,0,~,~,
MetaGPT,13,4,2.5,0,~,~,
MetaGPT,13,4,2.6,0,~,~,"2,4"
MetaGPT,13,4,3.1,1,global,RETRACTED,global
MetaGPT,13,4,3.2,0,~,~,
MetaGPT,13,4,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,5,1.1,0,~,~,"global,2,4"
MetaGPT,13,5,1.2,0,~,~,
MetaGPT,13,5,1.3,0,~,~,
MetaGPT,13,5,1.4,1,4,4,
MetaGPT,13,5,1.5,0,~,~,
MetaGPT,13,5,2.1,0,~,~,
MetaGPT,13,5,2.2,0,~,~,
MetaGPT,13,5,2.3,1,1,RETRACTED,
MetaGPT,13,5,2.4,0,~,~,
MetaGPT,13,5,2.5,0,~,~,4
MetaGPT,13,5,2.6,0,~,~,2
MetaGPT,13,5,3.1,0,~,~,
MetaGPT,13,5,3.2,0,~,~,
MetaGPT,13,5,3.3,1,2,"2,4",
MetaGPT,13,6,1.1,0,~,~,1
MetaGPT,13,6,1.2,0,~,~,
MetaGPT,13,6,1.3,0,~,~,
MetaGPT,13,6,1.4,0,~,~,
MetaGPT,13,6,1.5,0,~,~,
MetaGPT,13,6,2.1,1,4,RETRACTED,
MetaGPT,13,6,2.2,0,~,~,
MetaGPT,13,6,2.3,1,4,RETRACTED,
MetaGPT,13,6,2.4,0,~,~,
MetaGPT,13,6,2.5,0,~,~,4
MetaGPT,13,6,2.6,0,~,~,
MetaGPT,13,6,3.1,1,global,global,
MetaGPT,13,6,3.2,0,~,~,
MetaGPT,13,6,3.3,1,"2,4","3,5","2,4"
MetaGPT,13,7,1.1,0,~,~,
MetaGPT,13,7,1.2,0,~,~,
MetaGPT,13,7,1.3,0,~,~,
MetaGPT,13,7,1.4,1,4,RETRACTED,
MetaGPT,13,7,1.5,0,~,~,
MetaGPT,13,7,2.1,1,4,RETRACTED,
MetaGPT,13,7,2.2,0,~,~,
MetaGPT,13,7,2.3,1,4,RETRACTED,
MetaGPT,13,7,2.4,0,~,~,
MetaGPT,13,7,2.5,0,~,~,4
MetaGPT,13,7,2.6,0,~,~,
MetaGPT,13,7,3.1,0,~,~,
MetaGPT,13,7,3.2,0,~,~,4
MetaGPT,13,7,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,8,1.1,0,~,~,1
MetaGPT,13,8,1.2,0,~,~,
MetaGPT,13,8,1.3,0,~,~,
MetaGPT,13,8,1.4,0,~,~,4
MetaGPT,13,8,1.5,0,~,~,
MetaGPT,13,8,2.1,0,~,~,
MetaGPT,13,8,2.2,0,~,~,
MetaGPT,13,8,2.3,0,~,~,
MetaGPT,13,8,2.4,0,~,~,
MetaGPT,13,8,2.5,0,~,~,
MetaGPT,13,8,2.6,1,2,2,
MetaGPT,13,8,3.1,0,~,~,
MetaGPT,13,8,3.2,0,~,~,4
MetaGPT,13,8,3.3,1,4,1,"2,4"
MetaGPT,13,9,1.1,0,~,~,1
MetaGPT,13,9,1.2,0,~,~,
MetaGPT,13,9,1.3,1,4,RETRACTED,
MetaGPT,13,9,1.4,1,4,4,
MetaGPT,13,9,1.5,0,~,~,
MetaGPT,13,9,2.1,1,4,RETRACTED,
MetaGPT,13,9,2.2,0,~,~,1
MetaGPT,13,9,2.3,0,~,~,
MetaGPT,13,9,2.4,0,~,~,
MetaGPT,13,9,2.5,0,~,~,"4,5"
MetaGPT,13,9,2.6,0,~,~,
MetaGPT,13,9,3.1,0,~,~,
MetaGPT,13,9,3.2,0,~,~,"4,5"
MetaGPT,13,9,3.3,1,4,"2,4","2,4"
MetaGPT,13,10,1.1,0,~,~,
MetaGPT,13,10,1.2,0,~,~,
MetaGPT,13,10,1.3,0,~,~,
MetaGPT,13,10,1.4,0,~,~,
MetaGPT,13,10,1.5,0,~,~,
MetaGPT,13,10,2.1,0,~,~,
MetaGPT,13,10,2.2,0,~,~,
MetaGPT,13,10,2.3,0,~,~,
MetaGPT,13,10,2.4,0,~,~,
MetaGPT,13,10,2.5,0,~,~,4
MetaGPT,13,10,2.6,1,4,1,
MetaGPT,13,10,3.1,0,~,~,
MetaGPT,13,10,3.2,0,~,~,2
MetaGPT,13,10,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,11,1.1,0,~,~,
MetaGPT,13,11,1.2,0,~,~,
MetaGPT,13,11,1.3,0,~,~,
MetaGPT,13,11,1.4,1,4,RETRACTED,
MetaGPT,13,11,1.5,0,~,~,
MetaGPT,13,11,2.1,1,4,4,
MetaGPT,13,11,2.2,0,~,~,
MetaGPT,13,11,2.3,0,~,~,
MetaGPT,13,11,2.4,0,~,~,
MetaGPT,13,11,2.5,0,~,~,4
MetaGPT,13,11,2.6,0,~,~,
MetaGPT,13,11,3.1,0,~,~,
MetaGPT,13,11,3.2,0,~,~,
MetaGPT,13,11,3.3,1,"2,4","2,4","2,4"
MetaGPT,13,12,1.1,1,global,global,
MetaGPT,13,12,1.2,0,~,~,
MetaGPT,13,12,1.3,0,~,~,
MetaGPT,13,12,1.4,0,~,~,5
MetaGPT,13,12,1.5,0,~,~,
MetaGPT,13,12,2.1,0,~,~,
MetaGPT,13,12,2.2,0,~,~,
MetaGPT,13,12,2.3,0,~,~,
MetaGPT,13,12,2.4,0,~,~,
MetaGPT,13,12,2.5,0,~,~,4
MetaGPT,13,12,2.6,1,4,2,
MetaGPT,13,12,3.1,0,~,~,
MetaGPT,13,12,3.2,0,~,~,"4,5"
MetaGPT,13,12,3.3,1,"2,4","2,4",2
MetaGPT,13,13,1.1,0,~,~,
MetaGPT,13,13,1.2,0,~,~,
MetaGPT,13,13,1.3,0,~,~,
MetaGPT,13,13,1.4,1,4,4,
MetaGPT,13,13,1.5,0,~,~,
MetaGPT,13,13,2.1,1,4,4,
MetaGPT,13,13,2.2,0,~,~,
MetaGPT,13,13,2.3,0,~,~,
MetaGPT,13,13,2.4,0,~,~,
MetaGPT,13,13,2.5,0,~,~,4
MetaGPT,13,13,2.6,0,~,~,
MetaGPT,13,13,3.1,0,~,~,
MetaGPT,13,13,3.2,0,~,~,
MetaGPT,13,13,3.3,0,~,~,"2,4"
MetaGPT,13,14,1.1,0,~,~,
MetaGPT,13,14,1.2,0,~,~,
MetaGPT,13,14,1.3,0,~,~,
MetaGPT,13,14,1.4,1,4,4,
MetaGPT,13,14,1.5,0,~,~,
MetaGPT,13,14,2.1,1,4,4,4
MetaGPT,13,14,2.2,0,~,~,
MetaGPT,13,14,2.3,0,~,~,
MetaGPT,13,14,2.4,0,~,~,
MetaGPT,13,14,2.5,0,~,~,4
MetaGPT,13,14,2.6,0,~,~,2
MetaGPT,13,14,3.1,1,global,global,
MetaGPT,13,14,3.2,0,~,~,4
MetaGPT,13,14,3.3,1,"2,4","2,4",2
MetaGPT,13,15,1.1,0,~,~,global
MetaGPT,13,15,1.2,0,~,~,
MetaGPT,13,15,1.3,0,~,~,
MetaGPT,13,15,1.4,0,~,~,
MetaGPT,13,15,1.5,0,~,~,
MetaGPT,13,15,2.1,0,~,~,
MetaGPT,13,15,2.2,1,4,RETRACTED,
MetaGPT,13,15,2.3,0,~,~,
MetaGPT,13,15,2.4,0,~,~,
MetaGPT,13,15,2.5,0,~,~,
MetaGPT,13,15,2.6,1,4,2,"2,4"
MetaGPT,13,15,3.1,1,global,global,
MetaGPT,13,15,3.2,0,~,~,"2,4"
MetaGPT,13,15,3.3,1,"2,4","2,4","2,4"
