framework,fm,fm_name,feasibility,reasoning,trace_idx,n_steps,skipped
ChatDev,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,1.2,Disobey Role Specification,DRY-RUN,(not executed),1.0,68.0,False
AG2,1.2,Disobey Role Specification,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,1.2,Disobey Role Specification,DRY-RUN,(not executed),0.0,96.0,False
HyperAgent,1.2,Disobey Role Specification,DRY-RUN,(not executed),1.0,40.0,False
MetaGPT,1.2,Disobey Role Specification,DRY-RUN,(not executed),0.0,6.0,False
MagenticOne,1.2,Disobey Role Specification,DRY-RUN,(not executed),2.0,44.0,False
OpenManus,1.2,Disobey Role Specification,DRY-RUN,(not executed),20.0,81.0,False
ChatDev,1.3,Step Repetition,DRY-RUN,(not executed),1.0,68.0,False
AG2,1.3,Step Repetition,DRY-RUN,(not executed),2.0,10.0,False
AppWorld,1.3,Step Repetition,DRY-RUN,(not executed),1.0,73.0,False
HyperAgent,1.3,Step Repetition,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,1.3,Step Repetition,DRY-RUN,(not executed),15.0,6.0,False
MagenticOne,1.3,Step Repetition,DRY-RUN,(not executed),2.0,44.0,False
OpenManus,1.3,Step Repetition,DRY-RUN,(not executed),0.0,83.0,False
ChatDev,1.4,Loss of Conversation History,DRY-RUN,(not executed),14.0,68.0,False
AG2,1.4,Loss of Conversation History,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,1.4,Loss of Conversation History,DRY-RUN,(not executed),20.0,136.0,False
HyperAgent,1.4,Loss of Conversation History,DRY-RUN,(not executed),2.0,59.0,False
MetaGPT,1.4,Loss of Conversation History,DRY-RUN,(not executed),17.0,6.0,False
MagenticOne,1.4,Loss of Conversation History,DRY-RUN,(not executed),4.0,43.0,False
OpenManus,1.4,Loss of Conversation History,DRY-RUN,(not executed),5.0,59.0,False
ChatDev,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,2.1,Conversation Reset,DRY-RUN,(not executed),19.0,63.0,False
AG2,2.1,Conversation Reset,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,2.1,Conversation Reset,DRY-RUN,(not executed),20.0,136.0,False
HyperAgent,2.1,Conversation Reset,DRY-RUN,(not executed),2.0,59.0,False
MetaGPT,2.1,Conversation Reset,DRY-RUN,(not executed),17.0,6.0,False
MagenticOne,2.1,Conversation Reset,DRY-RUN,(not executed),8.0,42.0,False
OpenManus,2.1,Conversation Reset,DRY-RUN,(not executed),5.0,59.0,False
ChatDev,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),1.0,68.0,False
AG2,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),4.0,155.0,False
HyperAgent,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),5.0,6.0,False
MagenticOne,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),1.0,17.0,False
OpenManus,2.2,Fail to Ask for Clarification,DRY-RUN,(not executed),0.0,83.0,False
ChatDev,2.3,Task Derailment,DRY-RUN,(not executed),1.0,68.0,False
AG2,2.3,Task Derailment,DRY-RUN,(not executed),11.0,6.0,False
AppWorld,2.3,Task Derailment,DRY-RUN,(not executed),12.0,85.0,False
HyperAgent,2.3,Task Derailment,DRY-RUN,(not executed),3.0,68.0,False
MetaGPT,2.3,Task Derailment,DRY-RUN,(not executed),0.0,6.0,False
MagenticOne,2.3,Task Derailment,DRY-RUN,(not executed),2.0,44.0,False
OpenManus,2.3,Task Derailment,DRY-RUN,(not executed),5.0,59.0,False
ChatDev,2.4,Information Withholding,DRY-RUN,(not executed),9.0,64.0,False
AG2,2.4,Information Withholding,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,2.4,Information Withholding,DRY-RUN,(not executed),3.0,112.0,False
HyperAgent,2.4,Information Withholding,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,2.4,Information Withholding,DRY-RUN,(not executed),0.0,6.0,False
MagenticOne,2.4,Information Withholding,DRY-RUN,(not executed),2.0,44.0,False
OpenManus,2.4,Information Withholding,DRY-RUN,(not executed),4.0,59.0,False
ChatDev,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),1.0,68.0,False
AG2,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),2.0,10.0,False
AppWorld,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),3.0,112.0,False
HyperAgent,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),1.0,6.0,False
MagenticOne,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),2.0,44.0,False
OpenManus,2.5,Ignored Other Agent's Input,DRY-RUN,(not executed),8.0,99.0,False
ChatDev,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),0.0,69.0,False
AG2,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),4.0,4.0,False
AppWorld,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),0.0,96.0,False
HyperAgent,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),3.0,6.0,False
MagenticOne,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),1.0,17.0,False
OpenManus,2.6,Action-Reasoning Mismatch,DRY-RUN,(not executed),0.0,83.0,False
ChatDev,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,3.2,No / Incomplete Verification,DRY-RUN,(not executed),1.0,68.0,False
AG2,3.2,No / Incomplete Verification,DRY-RUN,(not executed),0.0,4.0,False
AppWorld,3.2,No / Incomplete Verification,DRY-RUN,(not executed),1.0,73.0,False
HyperAgent,3.2,No / Incomplete Verification,DRY-RUN,(not executed),0.0,40.0,False
MetaGPT,3.2,No / Incomplete Verification,DRY-RUN,(not executed),0.0,6.0,False
MagenticOne,3.2,No / Incomplete Verification,DRY-RUN,(not executed),0.0,13.0,False
OpenManus,3.2,No / Incomplete Verification,DRY-RUN,(not executed),0.0,83.0,False
ChatDev,3.3,Incorrect Verification,DRY-RUN,(not executed),0.0,69.0,False
AG2,3.3,Incorrect Verification,DRY-RUN,(not executed),5.0,6.0,False
AppWorld,3.3,Incorrect Verification,DRY-RUN,(not executed),29.0,167.0,False
HyperAgent,3.3,Incorrect Verification,DRY-RUN,(not executed),1.0,40.0,False
MetaGPT,3.3,Incorrect Verification,DRY-RUN,(not executed),2.0,6.0,False
MagenticOne,3.3,Incorrect Verification,DRY-RUN,(not executed),8.0,42.0,False
OpenManus,3.3,Incorrect Verification,DRY-RUN,(not executed),7.0,52.0,False
