run,fm,judge,forced,semi,relaxed
1,1.1,0,~,~,
1,1.2,0,~,~,59
1,1.3,1,?,"20,24,31,35,42,46,55,59,64",59
1,1.4,0,~,~,
1,1.5,1,?,"20,24,31,35,42,46,55,59,64",
1,2.1,0,~,~,
1,2.2,0,~,~,
1,2.3,0,~,~,
1,2.4,0,~,~,
1,2.5,0,~,~,
1,2.6,1,?,25,
1,3.1,0,~,~,
1,3.2,0,~,~,
1,3.3,1,?,21,21
2,1.1,0,~,~,25
2,1.2,0,~,~,59
2,1.3,0,~,~,59
2,1.4,0,~,~,
2,1.5,0,~,~,
2,2.1,0,~,~,
2,2.2,1,5,"14,21,32",
2,2.3,0,~,~,
2,2.4,0,~,~,
2,2.5,0,~,~,59
2,2.6,0,~,~,25
2,3.1,0,~,~,
2,3.2,0,~,~,
2,3.3,1,21,21,21
3,1.1,0,~,~,
3,1.2,0,~,~,
3,1.3,1,"29,40","20,31,42,64",
3,1.4,0,~,~,
3,1.5,0,~,~,
3,2.1,0,~,~,
3,2.2,1,"4,5,6",global,
3,2.3,0,~,~,
3,2.4,1,13,RETRACTED,
3,2.5,0,~,~,
3,2.6,0,~,~,25
3,3.1,0,~,~,
3,3.2,0,~,~,52
3,3.3,1,"21,32,43","20,21",21
4,1.1,1,global,global,25
4,1.2,0,~,~,
4,1.3,0,~,~,"20,24,31,35,42,46,59"
4,1.4,0,~,~,
4,1.5,0,~,~,21
4,2.1,0,~,~,
4,2.2,1,14,global,
4,2.3,0,~,~,
4,2.4,0,~,~,
4,2.5,0,~,~,
4,2.6,1,21,21,
4,3.1,0,~,~,
4,3.2,0,~,~,
4,3.3,1,21,21,21
5,1.1,0,~,~,25
5,1.2,0,~,~,"20,24,31,35,42,46"
5,1.3,0,~,~,"20,24,31,35,42,46,59"
5,1.4,0,~,~,
5,1.5,0,~,~,
5,2.1,0,~,~,
5,2.2,1,21,?,
5,2.3,0,~,~,
5,2.4,0,~,~,
5,2.5,0,~,~,25
5,2.6,0,~,~,"24,35,46"
5,3.1,0,~,~,
5,3.2,0,~,~,"21,43"
5,3.3,0,~,~,21
6,1.1,1,global,global,"14,21,25"
6,1.2,1,"20,24,31,35,42,46","20,31,42","20,24,31,35,42,46,59,60"
6,1.3,1,?,"20,31,42","3,8,12,19,23,30,34,41,45,54,58,59,63"
6,1.4,0,~,~,
6,1.5,1,global,RETRACTED,
6,2.1,0,~,~,
6,2.2,1,"2,3,4,5,6,7,8,9,10,11,12,13,14","5,9",
6,2.3,0,~,~,"11,13,59,60"
6,2.4,0,~,~,
6,2.5,0,~,~,"14,21,25"
6,2.6,1,25,25,"14,25"
6,3.1,1,global,21,
6,3.2,0,~,~,43
6,3.3,1,21,21,21
7,1.1,0,~,~,"global,14,21,25,36,47,52,60,65"
7,1.2,0,~,~,13
7,1.3,1,"20,24,31,35,42",RETRACTED,
7,1.4,0,~,~,
7,1.5,0,~,~,global
7,2.1,0,~,~,
7,2.2,1,14,"5,14",14
7,2.3,0,~,~,
7,2.4,0,~,~,"13,55,64"
7,2.5,0,~,~,
7,2.6,0,~,~,65
7,3.1,0,~,~,global
7,3.2,0,~,~,"32,43,51,60"
7,3.3,1,"21,32",21,"21,24,52"
8,1.1,1,global,14,"14,36,47,56,65"
8,1.2,0,~,~,
8,1.3,0,~,~,
8,1.4,0,~,~,
8,1.5,0,~,~,
8,2.1,0,~,~,
8,2.2,1,"4,5,6,7,8,9,10,11,12,13,14",14,
8,2.3,0,~,~,
8,2.4,0,~,~,
8,2.5,0,~,~,"14,25,36,47"
8,2.6,0,~,~,25
8,3.1,0,~,~,
8,3.2,0,~,~,"21,32,43"
8,3.3,1,21,21,"21,51,52,60"
9,1.1,1,global,14,
9,1.2,0,~,~,
9,1.3,0,~,~,
9,1.4,0,~,~,
9,1.5,0,~,~,
9,2.1,0,~,~,
9,2.2,0,~,~,
9,2.3,0,~,~,
9,2.4,0,~,~,
9,2.5,0,~,~,
9,2.6,0,~,~,65
9,3.1,0,~,~,
9,3.2,0,~,~,"21,32,43"
9,3.3,1,21,21,"21,43,52"
10,1.1,0,~,~,"global,14,25"
10,1.2,0,~,~,
10,1.3,1,"20,24,31,35,42,46,55,59,64","3,4,8,9,12,19,20,23,24,30,31,34,35,41,42,45,46,54,55,58,59,63,64",
10,1.4,0,~,~,
10,1.5,0,~,~,
10,2.1,0,~,~,
10,2.2,1,"14,21,32","5,6,10,14","5,6"
10,2.3,0,~,~,
10,2.4,0,~,~,
10,2.5,0,~,~,
10,2.6,0,~,~,
10,3.1,0,~,~,
10,3.2,0,~,~,
10,3.3,0,~,~,21
