framework,trace_idx,n_steps,fm,judge,forced,semi,relaxed
ChatDev,0,69,1.1,1,global,"14,27",global
ChatDev,0,69,1.2,0,~,~,"22,26,33,37,44,48"
ChatDev,0,69,1.3,0,~,~,"3,8,12,21,22,25,26,32,33,36,37,43,44,47,48,56,60,61,65"
ChatDev,0,69,1.4,0,~,~,
ChatDev,0,69,1.5,0,~,~,
ChatDev,0,69,2.1,0,~,~,
ChatDev,0,69,2.2,0,~,~,
ChatDev,0,69,2.3,0,~,~,"18,27,38,49,57,66,67"
ChatDev,0,69,2.4,0,~,~,
ChatDev,0,69,2.5,0,~,~,"22,26,33,37,44,48,62"
ChatDev,0,69,2.6,1,14,"17,18","14,18"
ChatDev,0,69,3.1,0,~,~,global
ChatDev,0,69,3.2,1,14,"14,17,18",global
ChatDev,0,69,3.3,0,~,~,
AG2,0,4,1.1,0,~,~,"1,3"
AG2,0,4,1.2,0,~,~,
AG2,0,4,1.3,0,~,~,
AG2,0,4,1.4,0,~,~,
AG2,0,4,1.5,0,~,~,
AG2,0,4,2.1,0,~,~,
AG2,0,4,2.2,0,~,~,"1,2,3"
AG2,0,4,2.3,0,~,~,"1,3"
AG2,0,4,2.4,1,"1,3",RETRACTED,
AG2,0,4,2.5,0,~,~,
AG2,0,4,2.6,1,"1,3",3,"1,3"
AG2,0,4,3.1,0,~,~,
AG2,0,4,3.2,0,~,~,"2,3"
AG2,0,4,3.3,0,~,~,
AppWorld,0,96,1.1,0,~,~,"14,17"
AppWorld,0,96,1.2,0,~,~,
AppWorld,0,96,1.3,0,~,~,
AppWorld,0,96,1.4,0,~,~,
AppWorld,0,96,1.5,0,~,~,
AppWorld,0,96,2.1,0,~,~,
AppWorld,0,96,2.2,1,14,17,
AppWorld,0,96,2.3,0,~,~,
AppWorld,0,96,2.4,0,~,~,
AppWorld,0,96,2.5,0,~,~,17
AppWorld,0,96,2.6,1,"14,17","14,17","14,17"
AppWorld,0,96,3.1,0,~,~,
AppWorld,0,96,3.2,0,~,~,
AppWorld,0,96,3.3,0,~,~,
HyperAgent,0,40,1.1,1,global,global,"8,9,13,17,23,24,26,30"
HyperAgent,0,40,1.2,0,~,~,
HyperAgent,0,40,1.3,1,"24,25","24,25","9,12,14,18,24,25,27,28,29,31,32,38"
HyperAgent,0,40,1.4,0,~,~,"27,28,29"
HyperAgent,0,40,1.5,0,~,~,
