run,fm,judge,forced,semi,relaxed
1,1.1,0,~,~,1
1,1.2,0,~,~,
1,1.3,0,~,~,
1,1.4,0,~,~,
1,1.5,0,~,~,
1,2.1,0,~,~,
1,2.2,1,1,4,
1,2.3,1,4,4,
1,2.4,0,~,~,
1,2.5,0,~,~,
1,2.6,1,4,4,4
1,3.1,0,~,~,
1,3.2,0,~,~,2
1,3.3,0,~,~,4
2,1.1,1,global,1,"1,4"
2,1.2,1,4,RETRACTED,"4,5"
2,1.3,0,~,~,
2,1.4,0,~,~,
2,1.5,0,~,~,
2,2.1,0,~,~,
2,2.2,1,4,RETRACTED,"4,5"
2,2.3,1,4,RETRACTED,4
2,2.4,0,~,~,
2,2.5,0,~,~,5
2,2.6,1,4,RETRACTED,"4,5"
2,3.1,1,global,global,
2,3.2,0,~,~,"2,4,5"
2,3.3,0,~,~,5
3,1.1,1,global,1,"global,1,4"
3,1.2,0,~,~,
3,1.3,0,~,~,
3,1.4,0,~,~,
3,1.5,1,global,1,global
3,2.1,0,~,~,
3,2.2,1,4,4,
3,2.3,1,4,4,
3,2.4,0,~,~,
3,2.5,0,~,~,
3,2.6,1,4,4,4
3,3.1,0,~,~,
3,3.2,0,~,~,"2,3"
3,3.3,0,~,~,
4,1.1,0,~,~,
4,1.2,1,4,RETRACTED,
4,1.3,0,~,~,
4,1.4,0,~,~,
4,1.5,1,global,RETRACTED,
4,2.1,0,~,~,
4,2.2,1,4,4,
4,2.3,1,4,RETRACTED,
4,2.4,0,~,~,
4,2.5,0,~,~,4
4,2.6,1,4,4,4
4,3.1,0,~,~,
4,3.2,0,~,~,2
4,3.3,0,~,~,5
5,1.1,1,global,RETRACTED,"1,2,4"
5,1.2,1,?,RETRACTED,
5,1.3,0,~,~,
5,1.4,0,~,~,
5,1.5,0,~,~,
5,2.1,0,~,~,
5,2.2,1,4,4,"1,2"
5,2.3,1,4,4,4
5,2.4,0,~,~,
5,2.5,0,~,~,"4,5"
5,2.6,1,4,"4,5",4
5,3.1,0,~,~,
5,3.2,0,~,~,"1,2,4"
5,3.3,1,5,5,5
6,1.1,0,~,~,global
6,1.2,1,4,RETRACTED,
6,1.3,0,~,~,
6,1.4,0,~,~,
6,1.5,0,~,~,
6,2.1,0,~,~,
6,2.2,1,4,4,
6,2.3,0,~,~,
6,2.4,0,~,~,
6,2.5,0,~,~,
6,2.6,1,4,4,4
6,3.1,0,~,~,global
6,3.2,0,~,~,"2,4"
6,3.3,0,~,~,
7,1.1,1,global,global,"1,4"
7,1.2,0,~,~,
7,1.3,0,~,~,
7,1.4,0,~,~,
7,1.5,0,~,~,
7,2.1,0,~,~,
7,2.2,1,4,1,4
7,2.3,1,4,RETRACTED,4
7,2.4,0,~,~,
7,2.5,0,~,~,5
7,2.6,1,4,4,4
7,3.1,0,~,~,
7,3.2,0,~,~,"2,3,4,5"
7,3.3,0,~,~,5
8,1.1,0,~,~,"global,1"
8,1.2,1,4,RETRACTED,
8,1.3,0,~,~,
8,1.4,1,4,RETRACTED,
8,1.5,0,~,~,
8,2.1,0,~,~,
8,2.2,1,4,"4,5",
8,2.3,1,4,RETRACTED,
8,2.4,0,~,~,
8,2.5,0,~,~,
8,2.6,1,4,4,4
8,3.1,0,~,~,
8,3.2,0,~,~,"2,3,4,5"
8,3.3,0,~,~,
9,1.1,0,~,~,4
9,1.2,1,"4,5",RETRACTED,4
9,1.3,0,~,~,
9,1.4,0,~,~,
9,1.5,0,~,~,
9,2.1,0,~,~,
9,2.2,1,"2,4",4,
9,2.3,1,4,4,
9,2.4,0,~,~,
9,2.5,0,~,~,5
9,2.6,1,4,4,4
9,3.1,0,~,~,
9,3.2,0,~,~,"2,5"
9,3.3,1,5,5,
10,1.1,0,~,~,1
10,1.2,0,~,~,
10,1.3,0,~,~,
10,1.4,0,~,~,
10,1.5,0,~,~,
10,2.1,0,~,~,
10,2.2,1,4,4,
10,2.3,0,~,~,
10,2.4,0,~,~,
10,2.5,0,~,~,
10,2.6,1,4,4,4
10,3.1,0,~,~,
10,3.2,0,~,~,2
10,3.3,0,~,~,
11,1.1,1,global,RETRACTED,"1,4"
11,1.2,1,4,4,
11,1.3,0,~,~,
11,1.4,0,~,~,
11,1.5,0,~,~,
11,2.1,0,~,~,
11,2.2,1,4,4,
11,2.3,1,4,4,
11,2.4,0,~,~,
11,2.5,0,~,~,4
11,2.6,1,4,4,4
11,3.1,0,~,~,
11,3.2,0,~,~,2
11,3.3,0,~,~,
12,1.1,1,global,global,"1,4"
12,1.2,1,4,4,
12,1.3,0,~,~,
12,1.4,0,~,~,
12,1.5,0,~,~,global
12,2.1,0,~,~,
12,2.2,1,4,4,
12,2.3,1,4,4,
12,2.4,0,~,~,
12,2.5,0,~,~,
12,2.6,1,4,4,4
12,3.1,0,~,~,global
12,3.2,0,~,~,"2,3"
12,3.3,1,4,5,5
13,1.1,1,global,1,"1,4"
13,1.2,0,~,~,
13,1.3,0,~,~,
13,1.4,0,~,~,
13,1.5,0,~,~,
13,2.1,0,~,~,
13,2.2,1,1,1,1
13,2.3,0,~,~,4
13,2.4,0,~,~,"3,5"
13,2.5,0,~,~,
13,2.6,1,4,4,"4,5"
13,3.1,1,global,global,
13,3.2,0,~,~,"2,3"
13,3.3,0,~,~,5
14,1.1,0,~,~,4
14,1.2,0,~,~,
14,1.3,0,~,~,
14,1.4,0,~,~,
14,1.5,0,~,~,
14,2.1,0,~,~,
14,2.2,1,4,4,4
14,2.3,1,4,4,
14,2.4,0,~,~,
14,2.5,0,~,~,
14,2.6,1,4,4,4
14,3.1,0,~,~,
14,3.2,0,~,~,"2,5"
14,3.3,1,5,4,
15,1.1,1,global,1,
15,1.2,1,4,RETRACTED,
15,1.3,0,~,~,
15,1.4,0,~,~,
15,1.5,0,~,~,
15,2.1,0,~,~,
15,2.2,1,4,4,
15,2.3,0,~,~,
15,2.4,0,~,~,
15,2.5,0,~,~,
15,2.6,1,4,4,4
15,3.1,0,~,~,
15,3.2,0,~,~,"2,4"
15,3.3,0,~,~,
16,1.1,1,global,global,"1,4"
16,1.2,0,~,~,
16,1.3,0,~,~,
16,1.4,0,~,~,
16,1.5,0,~,~,
16,2.1,0,~,~,
16,2.2,1,4,RETRACTED,4
16,2.3,0,~,~,
16,2.4,0,~,~,
16,2.5,0,~,~,
16,2.6,1,4,4,4
16,3.1,0,~,~,
16,3.2,0,~,~,2
16,3.3,1,4,3,4
17,1.1,1,global,1,"1,4"
17,1.2,1,"2,4",RETRACTED,
17,1.3,0,~,~,
17,1.4,0,~,~,
17,1.5,0,~,~,
17,2.1,0,~,~,
17,2.2,1,"1,2,4",RETRACTED,5
17,2.3,0,~,~,4
17,2.4,0,~,~,5
17,2.5,0,~,~,
17,2.6,1,4,4,4
17,3.1,0,~,~,
17,3.2,0,~,~,"2,5"
17,3.3,0,~,~,4
18,1.1,1,global,global,
18,1.2,0,~,~,
18,1.3,0,~,~,
18,1.4,0,~,~,
18,1.5,0,~,~,
18,2.1,0,~,~,
18,2.2,1,4,4,
18,2.3,1,4,4,
18,2.4,0,~,~,
18,2.5,0,~,~,
18,2.6,1,4,4,4
18,3.1,0,~,~,
18,3.2,0,~,~,"2,4"
18,3.3,1,4,5,
